N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
24;53;57.8;8.4;7.9;35.317;61.10;16.348;7;28.28;16.5;43.0;0.384;92.3;AA;3.72;6.135;0.37;10.61;2;GRANDE;59.25;42.98;72.54;Padrão;57.83;61.52;;0;Processamento
25;53;63.0;8.6;8.2;37.536;59.58;18.872;7;29.96;18.4;42.7;0.431;92.0;AA;4.83;6.592;0.41;10.46;2;EXTRA;58.12;45.17;77.72;Redondo;62.18;63.91;;0;Processamento
26;53;56.3;7.6;8.4;30.305;53.83;18.494;6;32.85;17.1;39.7;0.431;88.3;AA;5.03;7.501;0.44;13.32;1;GRANDE;59.84;45.74;76.44;Redondo;65.52;66.02;;0;Processamento
27;53;65.4;8.4;8.5;43.924;67.16;16.948;7;25.91;19.0;44.7;0.425;90.4;AA;4.60;4.528;0.29;6.92;1;EXTRA;58.87;45.95;78.05;Redondo;65.01;65.61;;0;Processamento
28;53;69.2;7.5;8.4;46.076;66.58;17.568;6;25.39;18.3;45.0;0.407;84.2;AA;4.70;5.556;0.41;8.03;1;JUMBO;55.79;45.29;81.18;Redondo;59.98;62.32;;0;Processamento
29;53;60.1;7.5;7.8;36.906;61.41;16.905;7;28.13;17.0;43.0;0.395;86.7;AA;3.00;6.289;0.41;10.46;2;EXTRA;57.42;44.20;76.98;Redondo;59.02;61.99;;0;Processamento
30;53;65.3;8.0;8.0;39.916;61.13;18.207;6;27.88;18.1;46.0;0.393;88.2;AA;3.67;7.177;0.41;10.99;2;EXTRA;58.93;47.04;79.82;Redondo;67.94;67.26;;0;Processamento
31;53;62.9;9.1;7.8;36.499;58.03;19.676;7;31.28;18.4;39.7;0.463;94.6;AA;5.04;6.725;0.40;10.69;2;EXTRA;59.69;46.26;77.50;Redondo;66.73;66.68;;0;Processamento
32;53;71.6;8.9;7.6;44.506;62.16;19.380;7;27.07;18.5;42.0;0.440;91.6;AA;4.31;7.714;0.41;10.77;2;JUMBO;60.92;45.96;75.44;Padrão;67.30;67.13;;0;Processamento
33;53;62.3;9.4;8.2;39.382;63.21;17.346;6;27.84;17.8;43.3;0.411;96.2;AA;5.87;5.572;0.39;8.94;2;EXTRA;57.35;43.50;75.85;Padrão;57.23;60.93;;0;Processamento
